"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM"
"1" 50 "10" "7" "8" "11" "15" "12" "6" "5" "14" "1" "13" "4" "9" "2" "3" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "26" "25" "520.9838694504" "0.396999999880791" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"2" 50 "9" "14" "6" "1" "12" "13" "15" "7" "3" "10" "4" "11" "2" "5" "8" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "27" "25" "190.802554022986" "0.412000000011176" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"3" 50 "15" "9" "12" "4" "5" "7" "8" "11" "14" "1" "2" "6" "3" "10" "13" "0.958823529411765" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "832.275024935836" "0.419999999925494" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"4" 50 "7" "10" "15" "9" "8" "6" "13" "11" "14" "12" "1" "2" "4" "3" "5" "0.96078431372549" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "30" "25" "122.251157939201" "0.458000000100583" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"5" 50 "12" "14" "11" "13" "9" "15" "7" "5" "2" "8" "10" "1" "3" "4" "6" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "51" "25" "427.621282097651" "0.759000000078231" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"6" 50 "12" "9" "7" "8" "11" "13" "15" "10" "14" "5" "6" "4" "2" "3" "1" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "54" "25" "954.893559359945" "0.806000000331551" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"7" 50 "11" "7" "6" "9" "3" "12" "8" "13" "10" "1" "4" "2" "15" "14" "5" "0.954901960784314" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "25" "25" "175.757586920168" "0.382999999914318" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"8" 50 "6" "15" "12" "4" "8" "7" "11" "13" "14" "1" "9" "10" "2" "5" "3" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "39" "25" "929.125767949969" "0.580000000074506" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"9" 50 "11" "7" "8" "12" "6" "9" "15" "13" "4" "3" "2" "14" "10" "1" "5" "0.954901960784314" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "29" "25" "789.377377321711" "0.439999999944121" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"10" 50 "12" "8" "1" "7" "15" "14" "11" "5" "3" "9" "6" "13" "10" "2" "4" "0.958823529411765" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "27" "25" "497.062212232035" "0.415000000037253" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"11" 50 "11" "12" "7" "13" "9" "1" "10" "5" "3" "4" "2" "8" "15" "6" "14" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "491.503334769513" "0.422999999951571" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"12" 50 "2" "13" "4" "1" "14" "3" "7" "5" "11" "6" "15" "10" "12" "9" "8" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "44" "25" "602.964401215781" "0.664000000339001" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"13" 50 "9" "11" "10" "12" "3" "5" "14" "1" "4" "15" "8" "7" "6" "2" "13" "0.958823529411765" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "34" "25" "918.041671324056" "0.516999999992549" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"14" 50 "12" "14" "15" "10" "5" "11" "7" "8" "1" "13" "6" "9" "2" "4" "3" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "32" "25" "305.044747162843" "0.479999999981374" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"15" 50 "15" "11" "10" "14" "8" "12" "9" "5" "7" "4" "13" "1" "6" "2" "3" "0.954901960784314" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "27" "25" "127.615041211946" "0.415000000037253" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"16" 50 "7" "9" "10" "8" "1" "14" "6" "13" "11" "12" "4" "3" "5" "15" "2" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "26" "25" "66.0568237465341" "0.393000000156462" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"17" 50 "2" "13" "8" "15" "4" "9" "11" "5" "10" "7" "12" "14" "1" "3" "6" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "49" "25" "159.674345745472" "0.770999999716878" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"18" 50 "10" "7" "13" "12" "9" "6" "5" "3" "15" "8" "11" "2" "1" "14" "4" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "40" "25" "414.703609003453" "0.606000000145286" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"19" 50 "10" "11" "14" "7" "8" "15" "9" "5" "1" "2" "3" "13" "6" "12" "4" "0.962745098039216" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "30" "25" "178.194186941953" "0.452000000048429" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
