"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM" "Pri"
"1" 50 5 7 8 11 9 6 12 3 2 14 10 13 1 4 0.559729064039409 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 52 25 840.858118694508 1.16899999976158 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"2" 50 6 3 11 14 8 4 12 10 5 7 2 1 9 13 0.564655172413793 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 57 25 460.147976584965 1.2730000000447 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"3" 50 7 9 12 4 11 6 3 5 8 2 1 14 13 10 0.54987684729064 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 36 25 759.008456693031 0.808999999891967 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"4" 50 5 6 2 8 12 7 11 9 4 10 13 3 14 1 0.552339901477833 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 28 25 44.0609310462605 0.642000000458211 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"5" 50 6 8 11 5 14 13 4 12 9 1 2 3 7 10 0.557266009852217 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 43 25 874.103566940175 0.973999999929219 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"6" 50 6 13 5 7 4 10 8 11 14 9 3 2 1 12 0.558497536945813 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 25 25 486.220125954831 0.566999999806285 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"7" 50 11 6 9 7 8 5 12 4 13 3 14 1 10 2 0.554802955665025 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 63 25 904.422794441693 1.41699999989942 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"8" 50 11 7 5 2 9 4 12 6 8 14 10 1 3 13 0.562192118226601 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 74 25 827.804658951238 1.6820000000298 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"9" 50 8 4 11 7 6 14 3 2 10 13 9 1 12 5 0.560960591133005 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 60 25 651.321888469625 1.34800000023097 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
"10" 50 12 11 8 5 3 6 7 14 10 4 2 13 1 9 0.557266009852217 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 65 25 652.676820506342 1.45399999991059 "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" "GA"
