"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "Ord37" "Ord38" "Ord39" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM"
"1" 50 "26" "32" "28" "8" "18" "35" "27" "33" "15" "12" "7" "24" "17" "1" "2" "37" "34" "10" "21" "38" "39" "5" "22" "9" "14" "31" "6" "13" "36" "20" "25" "23" "11" "3" "30" "16" "29" "4" "19" "0.357418111753372" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "69" "25" "354.69402917265" "44.2539999997243" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"2" 50 "29" "11" "31" "12" "32" "9" "26" "21" "35" "36" "1" "28" "30" "16" "18" "8" "15" "24" "23" "4" "13" "25" "22" "19" "3" "39" "17" "20" "6" "33" "34" "5" "2" "38" "7" "10" "37" "14" "27" "0.359822472539236" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "71" "25" "686.441205404932" "45.5319999996573" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"3" 50 "8" "19" "10" "15" "33" "31" "28" "7" "30" "29" "9" "22" "3" "16" "38" "37" "11" "13" "17" "36" "1" "6" "35" "2" "27" "12" "14" "5" "34" "4" "26" "20" "21" "24" "23" "32" "18" "25" "39" "0.356759382770943" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "27" "25" "380.378035594011" "17.7939999997616" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"4" 50 "26" "11" "7" "34" "36" "17" "10" "35" "20" "19" "33" "24" "30" "15" "18" "4" "21" "16" "22" "14" "32" "29" "2" "39" "27" "12" "1" "23" "6" "8" "3" "31" "5" "28" "13" "9" "37" "38" "25" "0.359723663191871" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "796.441901365062" "18.3170000002719" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"5" 50 "31" "10" "36" "1" "18" "34" "35" "11" "16" "17" "5" "6" "2" "8" "32" "26" "3" "21" "25" "29" "28" "27" "39" "24" "37" "20" "4" "23" "33" "19" "22" "14" "13" "30" "12" "38" "15" "7" "9" "0.360678820216392" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "25" "25" "904.787940444425" "16.2749999999069" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"6" 50 "26" "7" "33" "12" "37" "9" "32" "17" "19" "25" "28" "35" "8" "5" "24" "30" "1" "29" "14" "3" "21" "15" "27" "39" "31" "16" "22" "34" "18" "6" "38" "20" "23" "4" "2" "10" "36" "13" "11" "0.357483984651615" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "60" "25" "849.128747063922" "38.3889999999665" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"7" 50 "20" "32" "28" "11" "21" "9" "19" "1" "4" "15" "33" "18" "31" "36" "39" "37" "27" "34" "6" "22" "23" "13" "5" "10" "8" "30" "7" "2" "16" "35" "14" "24" "17" "38" "25" "29" "3" "12" "26" "0.356627636974458" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "27" "25" "847.853143209126" "17.5370000000112" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"8" 50 "34" "12" "21" "15" "20" "8" "35" "11" "28" "27" "33" "1" "19" "7" "29" "14" "31" "26" "9" "2" "16" "10" "32" "30" "6" "17" "18" "39" "38" "36" "25" "5" "37" "3" "24" "13" "23" "22" "4" "0.357006406139354" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "49" "25" "54.8567389647942" "31.6549999997951" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"9" 50 "1" "37" "11" "21" "17" "8" "36" "30" "19" "7" "29" "27" "24" "26" "39" "33" "18" "32" "34" "5" "35" "28" "9" "4" "3" "6" "31" "12" "20" "15" "14" "13" "22" "23" "10" "25" "2" "16" "38" "0.356957001465672" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "43" "25" "889.224772860762" "27.7430000002496" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"10" 50 "8" "3" "10" "19" "6" "16" "7" "30" "29" "31" "17" "11" "4" "32" "23" "20" "18" "5" "37" "33" "24" "9" "35" "1" "34" "2" "14" "22" "21" "27" "12" "15" "39" "38" "36" "26" "25" "28" "13" "0.355952439767469" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "30" "25" "471.049892369425" "19.4700000002049" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
