"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM"
"1" 50 "11" "1" "4" "7" "5" "12" "2" "3" "9" "8" "10" "6" "13" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "40" "25" "138.37330993684" "0.651000000070781" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"2" 50 "4" "5" "10" "11" "12" "13" "7" "6" "9" "1" "2" "3" "8" "0.503036437246964" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "30" "25" "136.183844626183" "0.492000000085682" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"3" 50 "11" "12" "1" "2" "13" "7" "10" "5" "4" "9" "3" "6" "8" "0.507085020242915" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "52" "25" "421.345167414518" "0.827000000048429" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"4" 50 "11" "5" "4" "1" "10" "13" "2" "9" "12" "7" "3" "8" "6" "0.507085020242915" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "38" "25" "681.037743055727" "0.615999999921769" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"5" 50 "12" "4" "5" "13" "11" "1" "9" "10" "7" "8" "2" "3" "6" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "25" "25" "733.959445790155" "0.412000000011176" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"6" 50 "11" "13" "7" "12" "1" "5" "9" "10" "3" "2" "4" "6" "8" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "47" "25" "425.232656537788" "0.748999999836087" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"7" 50 "7" "13" "10" "5" "9" "1" "11" "12" "6" "4" "8" "3" "2" "0.507085020242915" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "892.310706195422" "0.459999999962747" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"8" 50 "5" "12" "1" "4" "7" "10" "13" "11" "6" "9" "2" "3" "8" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "49" "25" "641.347574856831" "0.786000000312924" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"9" 50 "7" "13" "4" "10" "1" "5" "2" "11" "8" "6" "12" "3" "9" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "36" "25" "15.5238810135052" "0.575999999884516" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"10" 50 "13" "5" "12" "10" "7" "11" "9" "6" "8" "2" "4" "3" "1" "0.505060728744939" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "32" "25" "749.952579502482" "0.521000000182539" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"11" 50 "4" "11" "2" "13" "10" "5" "8" "6" "9" "3" "7" "12" "1" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "37" "25" "649.395313348155" "0.591000000014901" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"12" 50 "11" "2" "4" "5" "13" "1" "10" "3" "8" "9" "6" "12" "7" "0.503036437246964" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "29" "25" "49.5738355510402" "0.475000000093132" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"13" 50 "11" "13" "10" "5" "1" "7" "9" "12" "4" "6" "8" "3" "2" "0.505060728744939" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "886.308888763422" "0.458999999798834" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"14" 50 "6" "13" "7" "8" "2" "12" "4" "10" "9" "11" "5" "1" "3" "0.503036437246964" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "42" "25" "76.6452802512795" "0.670000000391155" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"15" 50 "11" "10" "7" "5" "4" "12" "8" "6" "9" "13" "2" "1" "3" "0.509109311740891" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "39" "25" "554.249165034853" "0.632999999914318" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
