"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "Ord37" "Ord38" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM" "Pri"
"1" 50 32 15 16 25 19 20 29 14 12 22 28 31 8 24 11 35 26 17 4 10 30 34 38 33 18 23 2 3 9 5 37 6 27 13 21 36 1 7 0.208773223619521 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 33 25 226.349114296958 27.3849999997765 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"2" 50 22 21 26 13 14 31 16 1 23 27 5 28 30 12 24 11 38 15 19 2 37 3 34 18 29 9 33 36 32 8 20 4 35 6 25 17 10 7 0.209924701133364 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 36 25 270.427323275711 30.0349999996834 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"3" 50 14 24 17 25 28 22 35 34 27 18 5 29 10 2 1 4 21 20 26 16 11 19 3 32 33 13 36 9 8 7 38 30 6 37 31 15 23 12 0.209795321637427 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 60 25 59.0262399108615 49.6039999998175 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"4" 50 17 11 28 12 14 29 18 34 10 30 15 25 35 19 37 22 7 32 6 36 3 4 16 20 5 1 8 9 31 38 23 24 21 2 27 33 13 26 0.210118770377271 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 69 25 326.179641610011 56.9879999998957 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"5" 50 35 23 27 29 24 32 28 16 37 18 38 5 2 22 20 25 1 33 19 14 17 7 21 31 34 30 6 10 36 11 26 8 13 4 3 15 12 9 0.210390467318739 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 48 25 407.493247992126 39.6380000002682 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"6" 50 13 1 35 20 11 33 24 31 34 17 19 2 27 30 36 15 14 12 10 5 28 26 29 25 8 21 9 3 18 7 38 6 37 16 32 23 22 4 0.209678880091083 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 39 25 992.403625473147 32.2030000002123 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"7" 50 1 23 10 35 17 20 16 21 25 30 18 32 34 15 2 27 26 28 37 19 7 9 11 4 14 24 22 12 5 33 8 6 36 31 29 38 13 3 0.210196398074833 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 53 25 12.2086806665175 43.5870000002906 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"8" 50 12 38 24 30 19 28 25 23 32 11 1 16 18 13 34 15 29 22 4 7 27 20 17 9 6 37 33 2 21 14 26 5 3 36 10 31 35 8 0.209031982611396 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 25 25 369.279985192697 20.9360000002198 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"9" 50 1 34 35 21 19 11 31 38 30 28 23 20 26 25 32 5 13 27 3 12 37 18 36 10 16 4 29 22 7 17 15 14 9 2 6 24 8 33 0.210067018578896 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 47 25 747.555057541467 38.9029999999329 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"10" 50 19 33 38 28 12 31 25 15 13 17 3 6 4 5 2 22 7 27 21 34 24 20 8 16 36 30 23 11 26 29 9 1 10 37 18 14 32 35 0.209834135486208 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 28 25 443.128421752714 23.4949999996461 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"11" 50 20 31 22 24 37 11 27 32 16 34 17 2 15 12 13 30 1 29 33 26 6 28 8 3 36 19 21 14 4 23 18 5 10 38 25 7 9 35 0.210196398074833 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 52 25 882.035230284091 42.8369999998249 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"12" 50 29 11 10 1 19 36 27 35 12 22 24 2 37 23 21 38 5 26 14 33 18 30 34 9 7 28 16 32 13 6 20 25 31 15 3 4 8 17 0.209976452931739 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 54 25 53.202145815827 44.3040000000037 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"13" 50 14 10 36 25 32 22 18 11 28 12 19 29 15 34 23 26 37 38 4 16 13 27 6 1 24 2 8 30 5 33 7 35 3 9 20 21 17 31 0.210144646276458 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 61 25 831.70633561071 50.0679999999702 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"14" 50 31 34 26 17 33 22 23 14 5 29 18 27 13 30 19 38 4 2 28 35 11 12 37 21 1 15 3 24 25 6 9 32 20 7 10 36 8 16 0.210144646276458 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 61 25 964.983073319774 50.2029999997467 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"15" 50 26 25 31 22 17 10 24 29 37 28 34 30 14 38 11 18 32 8 6 2 27 21 4 16 1 5 12 23 15 20 13 33 36 3 35 7 19 9 0.210157584226052 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 39 25 74.5096087672282 32.3530000001192 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"16" 50 32 37 12 17 19 27 20 29 16 31 15 18 28 26 14 21 22 9 4 11 3 10 8 5 7 34 2 38 6 25 35 1 30 24 36 13 23 33 0.210183460125239 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 25 25 982.48969750898 20.9550000000745 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"17" 50 1 11 18 30 19 36 34 16 24 29 32 27 15 13 25 6 2 38 10 35 7 22 9 3 21 4 28 23 31 37 12 26 8 20 33 5 14 17 0.209575376494333 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 44 25 108.134800156578 36.1370000001043 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"18" 50 12 31 24 35 1 38 37 26 29 19 30 3 10 16 14 17 8 36 32 7 13 28 6 33 11 22 20 34 2 5 23 27 21 4 18 25 15 9 0.208462712829271 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 29 25 142.77996365889 24.1310000000522 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"19" 50 1 23 36 16 18 20 12 22 34 11 13 37 33 24 21 6 5 15 17 7 25 14 32 38 10 28 27 2 3 30 19 9 8 26 35 31 29 4 0.209885887284583 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 25 25 512.959039052483 20.8149999999441 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"20" 50 29 37 2 14 18 30 10 28 24 33 21 12 25 35 15 19 27 3 5 11 31 23 34 8 4 6 9 26 13 1 38 22 36 16 20 17 7 32 0.210351653469958 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 46 25 34.5192368053831 38.1080000000075 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"21" 50 28 14 32 36 29 38 26 16 17 15 1 34 37 25 11 4 20 10 6 22 23 18 2 21 12 13 19 7 35 30 33 24 27 8 9 5 31 3 0.210144646276458 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 30 25 68.064071000088 24.9929999997839 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
"22" 50 13 14 28 1 32 29 16 22 24 36 38 34 18 23 9 35 10 8 37 5 2 19 30 17 26 4 7 20 6 21 12 33 27 31 11 15 25 3 0.210118770377271 20 0.4 0.2 "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" 25 41 25 71.5207540839911 33.8780000000261 "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" "GA"
