"Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Fit" "cPopSize" "cChildDens" "cMutRate" "CrossOp" "MutOp" "SelOp" "TransOp" "TermCond" "EndCond" "TotalIt" "StagIt" "Seed" "Runtime" "fFM"
"1" 50 "1" "24" "9" "13" "11" "3" "12" "18" "19" "8" "17" "7" "15" "16" "14" "2" "10" "4" "22" "21" "6" "25" "20" "23" "5" "0.751234042553191" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "72" "25" "456.018965568393" "6.02700000023469" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"2" 50 "6" "11" "15" "14" "3" "4" "8" "1" "20" "24" "5" "16" "13" "12" "18" "22" "25" "9" "23" "2" "19" "17" "10" "7" "21" "0.741531914893617" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "40" "25" "889.052028512582" "3.37800000002608" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"3" 50 "5" "6" "14" "1" "15" "9" "4" "2" "7" "24" "19" "3" "13" "10" "18" "25" "17" "16" "11" "8" "12" "22" "23" "21" "20" "0.745106382978723" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "31" "25" "731.38644831744" "2.61499999975786" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"4" 50 "4" "6" "5" "15" "8" "7" "3" "9" "23" "1" "16" "24" "22" "21" "12" "11" "2" "18" "13" "14" "19" "20" "10" "17" "25" "0.746468085106383" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "48" "25" "557.865448829718" "4.03299999982119" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"5" 50 "6" "3" "24" "13" "20" "11" "4" "9" "8" "7" "17" "5" "12" "14" "1" "16" "19" "10" "2" "22" "21" "15" "25" "23" "18" "0.742723404255319" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "33" "25" "181.663833167171" "2.80299999983981" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"6" 50 "5" "2" "6" "19" "7" "20" "12" "13" "11" "24" "17" "8" "22" "10" "18" "3" "14" "25" "1" "15" "16" "21" "9" "4" "23" "0.748170212765958" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "42" "25" "202.230829354376" "3.53599999984726" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"7" 50 "1" "11" "10" "8" "16" "2" "7" "17" "21" "22" "14" "18" "15" "4" "25" "24" "20" "6" "19" "9" "5" "12" "13" "23" "3" "0.741021276595745" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "28" "25" "429.913421200123" "2.38499999977648" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"8" 50 "6" "15" "11" "16" "23" "12" "4" "22" "3" "25" "2" "8" "19" "14" "7" "21" "13" "20" "5" "18" "1" "10" "17" "24" "9" "0.741021276595745" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "25" "25" "631.737540122122" "2.1359999999404" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"9" 50 "5" "1" "16" "15" "11" "6" "4" "20" "17" "7" "22" "14" "12" "2" "9" "18" "21" "23" "13" "3" "24" "8" "25" "19" "10" "0.742553191489362" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "42" "25" "593.559180950513" "3.53599999984726" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"10" 50 "12" "15" "2" "23" "16" "13" "24" "4" "3" "25" "6" "7" "22" "14" "10" "5" "9" "19" "21" "8" "18" "20" "1" "11" "17" "0.736765957446809" "20" "0.4" "0.2" "CO_OX1" "MO_DM" "SO_ROU" "TO_EXP" "TermStag" "25" "37" "25" "212.996821722249" "3.10800000000745" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
