"GRD" "fTF" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Fit" "Pri" "Runtime" "fFM" "Ord"
"1" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.114000000059605" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"2" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0929999999934807" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"3" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0879999999888241" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"4" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0890000000363216" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"5" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0919999999459833" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"6" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0920000000623986" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"7" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0869999999413267" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"8" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0890000000363216" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"9" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0869999999413267" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"10" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.0939999999245629" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
"11" "GRD_real" "reqMatrices/TimingsFiles/Employee_Timing.dat" 50 "1" "9" "14" "13" "10" "3" "2" "4" "11" "12" "5" "7" "8" "6" "0.564655172413793" "GRD" "0.087000000057742" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA
