"GRD" "fTF" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "Ord37" "Ord38" "Fit" "Pri" "Runtime" "fFM"
"1" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.27700000000186" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"2" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.23100000002887" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"3" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20799999998417" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"4" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20999999996275" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"5" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20499999995809" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"6" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20099999988452" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"7" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19900000002235" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"8" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20100000000093" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"9" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19900000002235" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"10" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19999999995343" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"11" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19999999995343" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"12" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20299999997951" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"13" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19900000002235" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"14" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.23199999995995" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"15" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19999999995343" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"16" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.19699999992736" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"17" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20100000000093" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"18" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20100000000093" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"19" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20999999996275" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"20" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20200000004843" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"21" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20100000000093" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
"22" "GRD_real" "reqMatrices/TimingsFiles/ReductionAndPrioritization_Timing.dat" 50 "3" "38" "6" "16" "1" "2" "36" "7" "9" "25" "4" "35" "8" "18" "5" "37" "22" "28" "14" "19" "13" "11" "29" "12" "20" "30" "10" "15" "33" "24" "31" "17" "32" "34" "21" "27" "23" "26" "0.207867567147958" "GRD" "2.20100000000093" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat"
