"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "fFM"
"1" "HC_FA_real" "NG_FS" 50 "2" "9" "8" "7" "1" "13" "10" "6" "12" "5" "11" "3" "14" "4" "15" "0.949019607843137" "HC_FA" "NG_FS" "4" "197.399331540102" "0.0240000002086163" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"2" "HC_FA_real" "NG_FS" 50 "13" "10" "9" "3" "5" "4" "15" "7" "6" "11" "12" "8" "1" "14" "2" "0.919607843137255" "HC_FA" "NG_FS" "3" "716.709570742678" "0.0219999998807907" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"3" "HC_FA_real" "NG_FS" 50 "2" "11" "8" "12" "15" "4" "6" "9" "7" "3" "5" "14" "10" "13" "1" "0.915686274509804" "HC_FA" "NG_FS" "1" "362.72359200567" "0.0109999999403954" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"4" "HC_FA_real" "NG_FS" 50 "2" "11" "5" "9" "10" "8" "1" "3" "13" "12" "6" "7" "14" "15" "4" "0.93921568627451" "HC_FA" "NG_FS" "1" "391.686390238348" "0.0189999998547137" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"5" "HC_FA_real" "NG_FS" 50 "2" "1" "11" "12" "7" "8" "13" "3" "6" "15" "5" "10" "4" "9" "14" "0.952941176470588" "HC_FA" "NG_FS" "2" "813.493894288316" "0.0189999998547137" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"6" "HC_FA_real" "NG_FS" 50 "2" "8" "6" "1" "12" "7" "4" "10" "3" "5" "9" "13" "15" "11" "14" "0.93921568627451" "HC_FA" "NG_FS" "2" "428.531901605194" "0.0129999998025596" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"7" "HC_FA_real" "NG_FS" 50 "2" "14" "7" "13" "1" "8" "3" "9" "10" "12" "6" "4" "11" "5" "15" "0.954901960784314" "HC_FA" "NG_FS" "2" "959.224146619206" "0.0180000001564622" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"8" "HC_FA_real" "NG_FS" 50 "2" "11" "6" "10" "15" "7" "13" "3" "1" "8" "14" "9" "5" "4" "12" "0.943137254901961" "HC_FA" "NG_FS" "2" "727.058822493535" "0.0219999998807907" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"9" "HC_FA_real" "NG_FS" 50 "2" "12" "8" "9" "5" "6" "3" "4" "10" "13" "14" "15" "11" "1" "7" "0.931372549019608" "HC_FA" "NG_FS" "2" "820.366910085315" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"10" "HC_FA_real" "NG_FS" 50 "2" "15" "6" "9" "11" "7" "14" "10" "4" "1" "8" "13" "3" "12" "5" "0.927450980392157" "HC_FA" "NG_FS" "1" "612.767009262228" "0.0150000001303852" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"11" "HC_FA_real" "NG_FS" 50 "2" "14" "10" "15" "4" "3" "11" "13" "5" "6" "7" "1" "8" "9" "12" "0.93921568627451" "HC_FA" "NG_FS" "2" "120.557635592064" "0.0139999999664724" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"12" "HC_FA_real" "NG_FS" 50 "2" "11" "15" "1" "6" "13" "8" "4" "9" "14" "12" "10" "5" "3" "7" "0.950980392156863" "HC_FA" "NG_FS" "1" "143.253087846562" "0.0189999998547137" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"13" "HC_FA_real" "NG_FS" 50 "2" "6" "13" "8" "11" "4" "12" "15" "10" "1" "14" "7" "5" "3" "9" "0.958823529411765" "HC_FA" "NG_FS" "2" "27.2586128022522" "0.0139999999664724" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"14" "HC_FA_real" "NG_FS" 50 "2" "15" "9" "11" "12" "1" "7" "3" "10" "13" "8" "14" "6" "4" "5" "0.93921568627451" "HC_FA" "NG_FS" "2" "74.039933539927" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"15" "HC_FA_real" "NG_FS" 50 "2" "10" "9" "14" "7" "11" "12" "4" "3" "5" "15" "1" "6" "8" "13" "0.917647058823529" "HC_FA" "NG_FS" "1" "981.904974751407" "0.0120000001043081" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"16" "HC_FA_real" "NG_FS" 50 "2" "15" "6" "3" "12" "4" "14" "8" "5" "11" "9" "10" "13" "1" "7" "0.919607843137255" "HC_FA" "NG_FS" "2" "442.534125501756" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"17" "HC_FA_real" "NG_FS" 50 "2" "15" "7" "9" "8" "4" "14" "3" "11" "10" "6" "12" "13" "5" "1" "0.919607843137255" "HC_FA" "NG_FS" "2" "589.605869437335" "0.0200000000186265" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"18" "HC_FA_real" "NG_FS" 50 "2" "7" "1" "10" "9" "14" "3" "6" "8" "11" "15" "5" "13" "12" "4" "0.93921568627451" "HC_FA" "NG_FS" "3" "335.760257838527" "0.0210000001825392" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"19" "HC_FA_real" "NG_FS" 50 "13" "6" "3" "5" "4" "10" "1" "11" "15" "8" "7" "9" "14" "12" "2" "0.931372549019608" "HC_FA" "NG_FS" "2" "880.377453103662" "0.0210000001825392" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"20" "HC_FA_real" "NG_FS" 50 "2" "9" "15" "7" "1" "13" "11" "12" "5" "3" "14" "4" "6" "10" "8" "0.949019607843137" "HC_FA" "NG_FS" "3" "213.772376796929" "0.0209999999497086" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
"21" "HC_FA_real" "NG_FS" 50 "2" "6" "1" "13" "8" "3" "12" "7" "11" "9" "5" "14" "10" "4" "15" "0.956862745098039" "HC_FA" "NG_FS" "2" "970.795305158943" "0.0129999998025596" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat"
