"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "fFM"
"1" "HC_FA_real" "NG_FS" 50 "1" "12" "11" "7" "3" "14" "4" "13" "6" "5" "9" "2" "10" "8" "0.530172413793103" "HC_FA" "NG_FS" "2" "361.068669963395" "0.0239999999757856" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"2" "HC_FA_real" "NG_FS" 50 "1" "3" "8" "13" "9" "4" "5" "14" "6" "7" "12" "10" "11" "2" "0.540024630541872" "HC_FA" "NG_FS" "1" "425.200172625016" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"3" "HC_FA_real" "NG_FS" 50 "1" "5" "11" "9" "6" "12" "7" "8" "10" "2" "14" "4" "3" "13" "0.521551724137931" "HC_FA" "NG_FS" "1" "154.143128349679" "0.0159999998286366" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"4" "HC_FA_real" "NG_FS" 50 "1" "6" "11" "7" "12" "14" "9" "4" "5" "2" "3" "13" "8" "10" "0.525246305418719" "HC_FA" "NG_FS" "3" "274.35720893275" "0.0290000000968575" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"5" "HC_FA_real" "NG_FS" 50 "1" "8" "6" "11" "14" "5" "7" "9" "4" "2" "13" "10" "3" "12" "0.527709359605911" "HC_FA" "NG_FS" "3" "804.261264158878" "0.0430000000633299" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"6" "HC_FA_real" "NG_FS" 50 "1" "14" "12" "3" "5" "11" "13" "10" "9" "7" "4" "2" "6" "8" "0.544950738916256" "HC_FA" "NG_FS" "2" "314.884881377453" "0.0229999998118728" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"7" "HC_FA_real" "NG_FS" 50 "1" "6" "12" "3" "14" "7" "8" "5" "9" "2" "4" "10" "13" "11" "0.524014778325123" "HC_FA" "NG_FS" "3" "434.482473319629" "0.0279999999329448" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"8" "HC_FA_real" "NG_FS" 50 "1" "6" "7" "3" "14" "4" "5" "9" "11" "2" "8" "13" "12" "10" "0.516625615763547" "HC_FA" "NG_FS" "3" "634.51950928499" "0.0330000000540167" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"9" "HC_FA_real" "NG_FS" 50 "1" "14" "8" "3" "4" "2" "12" "10" "13" "6" "9" "7" "5" "11" "0.538793103448276" "HC_FA" "NG_FS" "2" "382.157692632871" "0.0200000000186265" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
"10" "HC_FA_real" "NG_FS" 50 "1" "12" "2" "10" "5" "4" "6" "3" "13" "8" "11" "14" "9" "7" "0.525246305418719" "HC_FA" "NG_FS" "0" "669.019869716605" "0.0139999999664724" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat"
