"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "fFM"
"1" "HC_FA_real" "NG_FS" 50 "3" "10" "13" "8" "7" "2" "11" "9" "4" "5" "12" "1" "6" "0.494939271255061" "HC_FA" "NG_FS" "2" "897.064681717195" "0.0120000001043081" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"2" "HC_FA_real" "NG_FS" 50 "8" "5" "11" "1" "4" "13" "7" "10" "9" "2" "12" "3" "6" "0.458502024291498" "HC_FA" "NG_FS" "2" "137.027394554345" "0.0120000001043081" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"3" "HC_FA_real" "NG_FS" 50 "8" "13" "4" "3" "11" "12" "2" "5" "6" "9" "10" "7" "1" "0.478744939271255" "HC_FA" "NG_FS" "0" "883.574666581815" "0.0090000000782311" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"4" "HC_FA_real" "NG_FS" 50 "8" "4" "1" "2" "13" "12" "6" "9" "10" "7" "5" "3" "11" "0.482793522267207" "HC_FA" "NG_FS" "1" "238.781353662023" "0.0109999999403954" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"5" "HC_FA_real" "NG_FS" 50 "6" "5" "13" "2" "9" "1" "10" "12" "7" "3" "4" "8" "11" "0.494939271255061" "HC_FA" "NG_FS" "4" "754.400791940978" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"6" "HC_FA_real" "NG_FS" 50 "3" "5" "4" "11" "1" "7" "9" "2" "6" "13" "8" "12" "10" "0.460526315789474" "HC_FA" "NG_FS" "1" "149.487215833273" "0.0130000000353903" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"7" "HC_FA_real" "NG_FS" 50 "3" "9" "13" "2" "8" "12" "5" "6" "4" "10" "7" "1" "11" "0.484817813765182" "HC_FA" "NG_FS" "1" "330.564709789818" "0.0119999998714775" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"8" "HC_FA_real" "NG_FS" 50 "8" "5" "2" "12" "4" "6" "1" "13" "10" "3" "11" "7" "9" "0.490890688259109" "HC_FA" "NG_FS" "3" "575.990994632943" "0.0179999999236315" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"9" "HC_FA_real" "NG_FS" 50 "6" "7" "10" "1" "13" "2" "12" "8" "9" "4" "5" "3" "11" "0.486842105263158" "HC_FA" "NG_FS" "0" "493.640782370465" "0.0100000000093132" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
"10" "HC_FA_real" "NG_FS" 50 "6" "13" "5" "9" "12" "10" "11" "2" "3" "8" "7" "4" "1" "0.484817813765182" "HC_FA" "NG_FS" "1" "614.467844484607" "0.0109999999403954" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat"
