"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "fFM"
"1" "HC_FA_real" "NG_FS" 50 "25" "3" "15" "6" "5" "7" "12" "14" "9" "2" "11" "17" "4" "24" "19" "16" "18" "10" "20" "23" "21" "22" "8" "13" "1" "0.681276595744681" "HC_FA" "NG_FS" "6" "254.085499390727" "0.358999999938533" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"2" "HC_FA_real" "NG_FS" 50 "25" "9" "7" "10" "18" "5" "19" "13" "1" "14" "16" "22" "11" "3" "20" "4" "8" "12" "24" "21" "23" "6" "17" "2" "15" "0.726212765957447" "HC_FA" "NG_FS" "1" "168.729326271452" "0.112999999895692" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"3" "HC_FA_real" "NG_FS" 50 "25" "1" "5" "24" "7" "18" "4" "19" "23" "14" "20" "3" "11" "10" "21" "12" "17" "9" "22" "8" "16" "2" "13" "15" "6" "0.721617021276596" "HC_FA" "NG_FS" "3" "328.501096177846" "0.202000000048429" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"4" "HC_FA_real" "NG_FS" 50 "25" "18" "14" "12" "9" "8" "3" "1" "21" "19" "6" "2" "10" "15" "16" "13" "11" "23" "20" "17" "7" "22" "5" "4" "24" "0.747659574468085" "HC_FA" "NG_FS" "0" "111.216766070342" "0.0979999999981374" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"5" "HC_FA_real" "NG_FS" 50 "25" "13" "2" "24" "14" "20" "11" "6" "23" "1" "4" "21" "22" "5" "12" "15" "17" "10" "8" "7" "9" "18" "19" "3" "16" "0.716851063829787" "HC_FA" "NG_FS" "7" "449.476378689753" "0.297000000020489" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"6" "HC_FA_real" "NG_FS" 50 "25" "14" "20" "10" "1" "15" "6" "2" "19" "17" "23" "9" "13" "5" "3" "4" "22" "18" "7" "8" "24" "11" "12" "21" "16" "0.739148936170213" "HC_FA" "NG_FS" "1" "987.96551475767" "0.135999999940395" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"7" "HC_FA_real" "NG_FS" 50 "25" "14" "7" "16" "18" "2" "3" "13" "20" "24" "9" "17" "10" "11" "4" "19" "21" "12" "6" "5" "23" "22" "1" "8" "15" "0.72536170212766" "HC_FA" "NG_FS" "5" "970.954912150046" "0.297000000020489" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"8" "HC_FA_real" "NG_FS" 50 "25" "14" "6" "5" "19" "20" "24" "13" "17" "10" "8" "7" "15" "23" "9" "22" "2" "16" "21" "1" "12" "4" "3" "11" "18" "0.721446808510638" "HC_FA" "NG_FS" "3" "89.9819548132364" "0.232000000076368" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"9" "HC_FA_real" "NG_FS" 50 "25" "6" "2" "5" "16" "18" "24" "22" "15" "3" "1" "21" "17" "8" "20" "7" "19" "23" "11" "10" "14" "9" "4" "13" "12" "0.711914893617021" "HC_FA" "NG_FS" "2" "859.20394672174" "0.128000000026077" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
"10" "HC_FA_real" "NG_FS" 50 "25" "8" "10" "1" "16" "13" "15" "9" "17" "3" "19" "11" "18" "21" "12" "20" "22" "14" "23" "7" "2" "5" "24" "4" "6" "0.706808510638298" "HC_FA" "NG_FS" "3" "19.282138326671" "0.183999999891967" "reqMatrices/StatementCoverageMatrices/Sudoku_1_line_true_Coverage.dat"
