"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "fFM" "Ord15" "Ord"
"1" "HC_FA_reduction_real" "NG_FS" 50 "2" "11" "10" "7" "9" "12" "13" "1" "6" "5" "8" "14" "3" "15" "0.943137254901961" "HC_FA_reduction" "NG_FS" "2" "681.885056649102" "0.0179999996908009" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"2" "HC_FA_reduction_real" "NG_FS" 50 "3" "9" "7" "13" "15" "5" "4" NA NA NA NA NA NA NA "0.927450980392157" "HC_FA_reduction" "NG_FS" "8" "194.686355773127" "0.0529999998398125" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"3" "HC_FA_reduction_real" "NG_FS" 50 "13" "11" "7" "3" "8" "5" "4" "9" "6" "1" "14" NA NA NA "0.950980392156863" "HC_FA_reduction" "NG_FS" "4" "953.58421742497" "0.0400000000372529" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"4" "HC_FA_reduction_real" "NG_FS" 50 "2" "6" "5" "12" "1" "10" "14" "4" "7" "11" "9" "8" "15" "13" "0.933333333333333" "HC_FA_reduction" "NG_FS" "2" "847.845505162142" "0.0169999999925494" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"5" "HC_FA_reduction_real" "NG_FS" 50 "2" "9" "15" "7" "6" "13" "3" "8" "1" "10" "11" "12" "14" NA "0.947058823529412" "HC_FA_reduction" "NG_FS" "3" "745.001846001716" "0.0259999996051192" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"6" "HC_FA_reduction_real" "NG_FS" 50 "2" "1" "15" "8" "10" "7" "12" "5" "13" "6" "9" "11" "14" NA "0.949019607843137" "HC_FA_reduction" "NG_FS" "3" "46.0843910651747" "0.0200000000186265" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"7" "HC_FA_reduction_real" "NG_FS" 50 "5" "11" "13" "1" "4" "14" "9" "10" "8" "15" "6" "3" "7" "12" "0.954901960784314" "HC_FA_reduction" "NG_FS" "1" "97.6498508416116" "0.0150000001303852" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"8" "HC_FA_reduction_real" "NG_FS" 50 "2" "15" "12" "11" "14" "5" "9" "10" "7" "13" "8" "4" "6" "1" "0.931372549019608" "HC_FA_reduction" "NG_FS" "3" "327.999048452126" "0.026999999769032" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"9" "HC_FA_reduction_real" "NG_FS" 50 "2" "8" "6" "1" "11" "3" "13" "9" "7" "4" "12" "14" "15" "10" "0.949019607843137" "HC_FA_reduction" "NG_FS" "2" "472.728887354955" "0.0200000000186265" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"10" "HC_FA_reduction_real" "NG_FS" 50 "2" "12" "11" "13" "9" "5" "14" "8" "10" "6" "15" "1" "4" NA "0.954901960784314" "HC_FA_reduction" "NG_FS" "3" "355.231372220907" "0.0160000002942979" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"11" "HC_FA_reduction_real" "NG_FS" 50 "2" "7" "13" "15" "9" "6" "11" "8" "3" "12" "14" "1" "10" NA "0.958823529411765" "HC_FA_reduction" "NG_FS" "3" "358.296094263205" "0.0210000001825392" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"12" "HC_FA_reduction_real" "NG_FS" 50 "2" "13" "15" "10" "4" "8" "11" "9" "14" "7" "12" "1" "6" NA "0.962745098039216" "HC_FA_reduction" "NG_FS" "3" "565.393008828396" "0.0230000000447035" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"13" "HC_FA_reduction_real" "NG_FS" 50 "2" "9" "11" "8" "6" "10" "15" "12" "3" "5" "14" "7" "13" NA "0.919607843137255" "HC_FA_reduction" "NG_FS" "4" "774.90394863463" "0.0379999997094274" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
"14" "HC_FA_reduction_real" "NG_FS" 50 "3" "4" "9" "13" "7" "5" "6" "8" "11" "15" "10" "12" NA NA "0.950980392156863" "HC_FA_reduction" "NG_FS" "3" "663.566488620359" "0.0339999999850988" "reqMatrices/StatementCoverageMatrices/CommissionEmployee_1_line_true_Coverage.dat" NA NA
