"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord12" "Ord13" "fFM" "Ord14" "Ord"
"1" "HC_FA_reduction_real" "NG_FS" 50 "1" "12" "14" "9" "10" "11" "7" "6" "2" "13" "8" "0.552339901477833" "HC_FA_reduction" "NG_FS" "7" "967.184411353199" "0.0389999998733401" NA NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"2" "HC_FA_reduction_real" "NG_FS" 50 "1" "12" "11" "5" "3" "9" "8" "6" "2" "14" "10" "0.522783251231527" "HC_FA_reduction" "NG_FS" "3" "851.240097190253" "0.0350000001490116" "7" "13" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"3" "HC_FA_reduction_real" "NG_FS" 50 "2" "13" "10" "12" "7" "14" "8" "9" "4" "11" "5" "0.548645320197044" "HC_FA_reduction" "NG_FS" "2" "906.556730280863" "0.0230000000447035" "6" "3" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"4" "HC_FA_reduction_real" "NG_FS" 50 "10" "13" "3" "8" "2" "4" "9" "12" "11" "14" "5" "0.533866995073892" "HC_FA_reduction" "NG_FS" "2" "409.783011573134" "0.029999999795109" "7" "6" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"5" "HC_FA_reduction_real" "NG_FS" 50 "14" "12" "11" "4" "2" "3" "13" "6" "9" "5" "10" "0.535098522167488" "HC_FA_reduction" "NG_FS" "4" "845.024614476832" "0.0449999999254942" "7" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"6" "HC_FA_reduction_real" "NG_FS" 50 "10" "2" "4" "7" "6" "14" "3" "11" "8" "12" "13" "0.520320197044335" "HC_FA_reduction" "NG_FS" "2" "252.456320111407" "0.0290000000968575" "5" "9" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"7" "HC_FA_reduction_real" "NG_FS" 50 "1" "12" "5" "8" "4" "7" "2" "11" "10" "9" "14" "0.517857142857143" "HC_FA_reduction" "NG_FS" "4" "247.640528929653" "0.0479999999515712" "13" "6" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"8" "HC_FA_reduction_real" "NG_FS" 50 "10" "2" "4" "9" "3" "14" "12" "8" "11" "6" "13" "0.536330049261084" "HC_FA_reduction" "NG_FS" "6" "37.6226787078194" "0.0600000000558794" NA NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"9" "HC_FA_reduction_real" "NG_FS" 50 "1" "5" "11" "8" "3" "9" "10" "2" "7" "12" "14" "0.521551724137931" "HC_FA_reduction" "NG_FS" "3" "941.990949997911" "0.0320000001229346" "13" "6" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"10" "HC_FA_reduction_real" "NG_FS" 50 "2" "14" "9" "13" "4" "10" "12" "6" "11" "3" "7" "0.544950738916256" "HC_FA_reduction" "NG_FS" "3" "545.040482245851" "0.0370000000111759" "8" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"11" "HC_FA_reduction_real" "NG_FS" 50 "1" "2" "6" "11" "7" "8" "12" "13" "14" "10" "4" "0.519088669950739" "HC_FA_reduction" "NG_FS" "3" "548.611623689765" "0.0360000003129244" "9" "5" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"12" "HC_FA_reduction_real" "NG_FS" 50 "10" "4" "14" "9" "7" "2" "13" "3" "12" "8" NA "0.533866995073892" "HC_FA_reduction" "NG_FS" "7" "90.955664151581" "0.0809999997727573" NA NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"13" "HC_FA_reduction_real" "NG_FS" 50 "3" "7" "5" "13" "2" "10" "11" "8" "14" "4" "6" "0.522783251231527" "HC_FA_reduction" "NG_FS" "1" "471.374207454268" "0.0319999996572733" "12" "9" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"14" "HC_FA_reduction_real" "NG_FS" 50 "9" "10" "11" "13" "14" "4" "8" "5" "2" "3" "7" "0.544950738916256" "HC_FA_reduction" "NG_FS" "4" "963.945777554298" "0.0499999998137355" NA NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"15" "HC_FA_reduction_real" "NG_FS" 50 "1" "11" "5" "12" "8" "9" "14" "4" "10" "6" "13" "0.533866995073892" "HC_FA_reduction" "NG_FS" "7" "338.237348487601" "0.0509999999776483" "7" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"16" "HC_FA_reduction_real" "NG_FS" 50 "13" "4" "7" "5" "14" "6" "3" "9" "2" "12" "11" "0.527709359605911" "HC_FA_reduction" "NG_FS" "1" "615.533798161428" "0.0309999999590218" "8" "10" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"17" "HC_FA_reduction_real" "NG_FS" 50 "10" "11" "2" "4" "6" "3" "8" "7" "12" "5" "9" "0.519088669950739" "HC_FA_reduction" "NG_FS" "1" "214.832705328241" "0.0189999998547137" "14" "13" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"18" "HC_FA_reduction_real" "NG_FS" 50 "14" "11" "8" "4" "13" "2" "12" "5" "10" "9" "3" "0.538793103448276" "HC_FA_reduction" "NG_FS" "3" "635.823958757566" "0.0390000003390014" "7" "6" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"19" "HC_FA_reduction_real" "NG_FS" 50 "3" "13" "4" "7" "8" "12" "11" "10" "2" "5" "9" "0.525246305418719" "HC_FA_reduction" "NG_FS" "1" "996.400632346282" "0.0320000001229346" "14" "6" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"20" "HC_FA_reduction_real" "NG_FS" 50 "14" "6" "9" "12" "2" "8" "4" "13" "3" "7" "10" "0.544950738916256" "HC_FA_reduction" "NG_FS" "2" "289.971615953837" "0.0309999999590218" "5" "11" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"21" "HC_FA_reduction_real" "NG_FS" 50 "4" "12" "13" "11" "5" "10" "9" "2" "3" "7" "8" "0.527709359605911" "HC_FA_reduction" "NG_FS" "2" "121.948347917758" "0.0320000001229346" "14" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"22" "HC_FA_reduction_real" "NG_FS" 50 "9" "10" "14" "13" "5" "4" "6" "7" "8" "3" "2" "0.556034482758621" "HC_FA_reduction" "NG_FS" "2" "26.6837240476161" "0.0330000002868474" "12" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"23" "HC_FA_reduction_real" "NG_FS" 50 "4" "9" "13" "7" "10" "3" "5" "2" "14" "8" "12" "0.541256157635468" "HC_FA_reduction" "NG_FS" "2" "258.515070510097" "0.0320000001229346" "11" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"24" "HC_FA_reduction_real" "NG_FS" 50 "14" "4" "7" "9" "10" "6" "2" "5" "11" "3" "13" "0.544950738916256" "HC_FA_reduction" "NG_FS" "1" "237.756545375334" "0.0219999998807907" "12" "8" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"25" "HC_FA_reduction_real" "NG_FS" 50 "1" "5" "11" "6" "4" "12" "8" "3" "10" "9" "14" "0.512931034482759" "HC_FA_reduction" "NG_FS" "3" "726.236755764578" "0.0400000000372529" "7" "13" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"26" "HC_FA_reduction_real" "NG_FS" 50 "3" "13" "6" "8" "9" "2" "11" "12" "7" "5" "4" "0.528940886699507" "HC_FA_reduction" "NG_FS" "1" "535.269707070896" "0.0309999999590218" "14" "10" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"27" "HC_FA_reduction_real" "NG_FS" 50 "9" "4" "12" "5" "6" "7" "8" "2" "13" "3" "10" "0.527709359605911" "HC_FA_reduction" "NG_FS" "1" "462.305398523109" "0.026999999769032" "14" "11" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"28" "HC_FA_reduction_real" "NG_FS" 50 "9" "8" "6" "3" "4" "13" "7" "10" "2" "5" "14" "0.532635467980296" "HC_FA_reduction" "NG_FS" "3" "585.668045914732" "0.0449999999254942" "12" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"29" "HC_FA_reduction_real" "NG_FS" 50 "14" "5" "12" "3" "11" "13" "6" "8" "9" "2" "10" "0.528940886699507" "HC_FA_reduction" "NG_FS" "2" "844.31434146734" "0.0360000003129244" "4" NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"30" "HC_FA_reduction_real" "NG_FS" 50 "14" "10" "12" "11" "9" "2" "4" "3" "13" "5" NA "0.5314039408867" "HC_FA_reduction" "NG_FS" "5" "648.809067540104" "0.0610000002197921" NA NA "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"31" "HC_FA_reduction_real" "NG_FS" 50 "2" "6" "7" "11" "4" "13" "12" "3" "14" "5" "10" "0.514162561576355" "HC_FA_reduction" "NG_FS" "1" "688.414595953422" "0.023999999742955" "9" "8" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"32" "HC_FA_reduction_real" "NG_FS" 50 "1" "5" "8" "7" "6" "12" "13" "9" "11" "14" "10" "0.526477832512315" "HC_FA_reduction" "NG_FS" "3" "414.409360674908" "0.0379999997094274" "4" "3" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
"33" "HC_FA_reduction_real" "NG_FS" 50 "1" "13" "10" "9" "5" "11" "7" "12" "2" "6" "8" "0.554802955665025" "HC_FA_reduction" "NG_FS" "2" "448.542425899999" "0.0320000001229346" "14" "4" "reqMatrices/StatementCoverageMatrices/Employee_1_line_true_Coverage.dat" NA NA
