"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "Ord37" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord38" "Ord39" "fFM"
"1" "HC_FA_reduction_real" "NG_FS" 25 "13" "26" "7" "35" "3" "37" "1" "32" "18" "12" "27" "21" "28" "23" "15" "30" "17" "16" "9" "29" "14" "36" "33" "2" "6" "4" "10" "11" "5" "31" "24" "34" "19" "20" "38" "25" "39" "0.3469278527082" "HC_FA_reduction" "NG_FS" "5" "706.107193491422" "10.8289999999106" NA NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"2" "HC_FA_reduction_real" "NG_FS" 25 "38" "14" "28" "5" "31" "19" "18" "13" "34" "36" "24" "10" "35" "33" "26" "32" "15" "25" "7" "16" "2" "30" "12" "20" "1" "6" "3" "4" "11" "37" "23" "29" "21" "22" "17" "9" "27" "0.358982593086639" "HC_FA_reduction" "NG_FS" "3" "995.92363145086" "7.32899999991059" NA NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"3" "HC_FA_reduction_real" "NG_FS" 25 "13" "7" "36" "29" "30" "9" "21" "2" "31" "22" "17" "14" "12" "38" "32" "34" "26" "33" "10" "8" "6" "1" "20" "28" "24" "27" "18" "19" "37" "35" "25" "39" "16" "15" "5" "11" NA "0.353630420104409" "HC_FA_reduction" "NG_FS" "4" "410.978993707569" "8.59200000017881" NA NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"4" "HC_FA_reduction_real" "NG_FS" 25 "13" "32" "7" "15" "29" "23" "36" "14" "10" "9" "16" "30" "27" "12" "2" "18" "39" "38" "21" "5" "17" "1" "11" "28" "31" "3" "6" "35" "24" "37" "26" "4" "34" "33" "20" "8" "19" "0.355771289297301" "HC_FA_reduction" "NG_FS" "4" "192.906601275783" "9.01299999980256" "25" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"5" "HC_FA_reduction_real" "NG_FS" 25 "13" "20" "8" "17" "10" "15" "9" "1" "5" "22" "2" "16" "23" "30" "26" "7" "27" "33" "4" "38" "6" "14" "28" "19" "39" "25" "24" "3" "32" "36" "31" "29" "11" "37" "18" "21" "12" "0.353943316371062" "HC_FA_reduction" "NG_FS" "1" "39.917910663411" "5.15199999976903" "34" "35" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"6" "HC_FA_reduction_real" "NG_FS" 25 "13" "33" "6" "5" "17" "23" "26" "22" "2" "19" "28" "37" "25" "39" "1" "31" "24" "7" "3" "30" "21" "14" "32" "4" "29" "12" "8" "9" "18" "34" "38" "20" "16" "10" "35" "27" "15" "0.342086194687351" "HC_FA_reduction" "NG_FS" "1" "677.168033941882" "5.09299999987707" "11" "36" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"7" "HC_FA_reduction_real" "NG_FS" 25 "13" "29" "33" "31" "34" "15" "14" "16" "23" "8" "6" "32" "24" "27" "37" "18" "36" "7" "21" "35" "9" "30" "28" "10" "1" "26" "17" "2" "20" "5" "12" "38" "11" "4" "3" "25" "19" "0.351094313522059" "HC_FA_reduction" "NG_FS" "3" "413.107515600044" "7.25900000007823" NA NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"8" "HC_FA_reduction_real" "NG_FS" 25 "13" "32" "37" "3" "10" "31" "29" "25" "28" "4" "17" "19" "33" "14" "35" "11" "18" "30" "36" "22" "5" "15" "6" "26" "2" "23" "38" "12" "24" "1" "20" "8" "34" "7" "16" "21" "9" "0.350830821929088" "HC_FA_reduction" "NG_FS" "3" "364.860770956147" "8.26399999996647" "27" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"9" "HC_FA_reduction_real" "NG_FS" 25 "13" "18" "30" "23" "17" "19" "15" "28" "25" "6" "24" "29" "12" "16" "2" "37" "8" "4" "21" "7" "31" "27" "33" "14" "22" "10" "32" "26" "5" "34" "11" "36" "38" "35" "1" "3" "9" "0.352000065872898" "HC_FA_reduction" "NG_FS" "3" "117.88686562865" "8.53200000012293" "20" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"10" "HC_FA_reduction_real" "NG_FS" 25 "13" "3" "1" "15" "11" "6" "16" "5" "4" "29" "39" "33" "10" "2" "23" "12" "7" "21" "26" "8" "27" "30" "20" "36" "25" "35" "9" "17" "34" "14" "24" "32" "28" "37" "19" "31" "18" "0.352230621016748" "HC_FA_reduction" "NG_FS" "2" "781.673165331595" "6.13700000010431" "38" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
