"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "Ord37" "Ord38" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord39" "fFM"
"1" "HC_FA_reduction_real" "NG_FS" 25 "13" "36" "14" "31" "32" "19" "21" "9" "22" "24" "28" "35" "33" "23" "20" "6" "25" "17" "3" "10" "12" "27" "1" "30" "38" "29" "2" "37" "34" "18" "5" "7" "4" "15" "8" "11" "16" "26" "0.354042125718426" "HC_FA_reduction" "NG_FS" "2" "982.063625998097" "6.21700000017881" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"2" "HC_FA_reduction_real" "NG_FS" 25 "13" "15" "26" "27" "17" "11" "1" "20" "25" "35" "16" "19" "37" "2" "18" "32" "12" "34" "8" "36" "10" "14" "21" "5" "33" "28" "30" "24" "9" "29" "31" "6" "7" "39" "4" "23" "38" NA "0.354223276188594" "HC_FA_reduction" "NG_FS" "4" "887.465248093009" "9.99699999997392" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"3" "HC_FA_reduction_real" "NG_FS" 25 "13" "29" "9" "12" "34" "10" "8" "17" "23" "18" "3" "37" "16" "28" "14" "1" "24" "36" "2" "33" "19" "21" "11" "32" "26" "5" "25" "20" "27" "15" "6" "30" "7" "31" "38" "35" "4" NA "0.346219719052089" "HC_FA_reduction" "NG_FS" "3" "989.571021161973" "8.75799999991432" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"4" "HC_FA_reduction_real" "NG_FS" 25 "14" "36" "24" "9" "22" "18" "12" "21" "11" "6" "37" "31" "25" "27" "13" "4" "5" "26" "19" "30" "8" "34" "16" "15" "38" "33" "3" "20" "2" "1" "29" "23" "28" "35" "7" "17" "10" "32" "0.353679824778091" "HC_FA_reduction" "NG_FS" "1" "692.688952226192" "4.98600000003353" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"5" "HC_FA_reduction_real" "NG_FS" 25 "13" "12" "29" "33" "7" "21" "1" "16" "4" "15" "39" "20" "6" "11" "26" "5" "35" "22" "32" "30" "28" "31" "14" "27" "37" "3" "24" "38" "8" "18" "36" "2" "19" "34" "23" "9" "10" "25" "0.350600266785238" "HC_FA_reduction" "NG_FS" "2" "222.979982192861" "7.17300000041723" "17" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"6" "HC_FA_reduction_real" "NG_FS" 25 "13" "23" "25" "28" "36" "31" "39" "12" "30" "24" "10" "34" "35" "27" "7" "15" "19" "33" "1" "14" "3" "26" "37" "32" "16" "6" "20" "17" "38" "29" "8" "18" "5" "11" "21" "4" "9" "2" "0.348739357409878" "HC_FA_reduction" "NG_FS" "2" "866.397317858413" "7.04499999992549" "22" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"7" "HC_FA_reduction_real" "NG_FS" 25 "13" "21" "7" "14" "33" "10" "23" "5" "27" "39" "29" "26" "30" "19" "25" "16" "11" "38" "1" "32" "31" "2" "6" "36" "15" "28" "34" "9" "24" "4" "12" "17" "20" "37" "35" "18" "3" "22" "0.358702633269107" "HC_FA_reduction" "NG_FS" "1" "990.171852481086" "5.20100000035018" "8" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"8" "HC_FA_reduction_real" "NG_FS" 25 "13" "14" "34" "28" "6" "31" "4" "33" "20" "11" "25" "12" "2" "30" "32" "8" "5" "24" "16" "21" "38" "17" "26" "27" "35" "29" "39" "15" "19" "3" "1" "9" "36" "10" "7" "37" "18" NA "0.356133590237636" "HC_FA_reduction" "NG_FS" "3" "845.149904916994" "7.73199999984354" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"9" "HC_FA_reduction_real" "NG_FS" 25 "13" "26" "9" "22" "6" "34" "39" "5" "33" "38" "18" "7" "21" "30" "1" "35" "17" "20" "8" "28" "27" "11" "14" "19" "10" "15" "4" "12" "32" "36" "37" "23" "29" "3" "24" "2" "16" "25" "0.346302060174893" "HC_FA_reduction" "NG_FS" "2" "231.568032378331" "6.5" "31" "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
"10" "HC_FA_reduction_real" "NG_FS" 25 "13" "9" "7" "16" "8" "17" "20" "5" "11" "27" "23" "25" "24" "28" "29" "12" "30" "19" "10" "2" "1" "39" "15" "6" "33" "4" "37" "31" "32" "34" "14" "38" "21" "36" "22" "26" "18" "35" "0.343321311529404" "HC_FA_reduction" "NG_FS" "4" "312.602165044984" "9.38799999980256" NA "reqMatrices/StatementCoverageMatrices/JDepend_1_line_true_Coverage.dat"
