"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord7" "Ord8" "Ord9" "Ord10" "fFM" "Ord" "Ord11" "Ord12"
"1" "HC_FA_reduction_real" "NG_FS" 50 "8" "11" "7" "3" "1" "2" "0.900932400932401" "HC_FA_reduction" "NG_FS" "7" "315.562320414465" "0.0440000002272427" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"2" "HC_FA_reduction_real" "NG_FS" 50 "13" "2" "10" "6" NA NA "0.900932400932401" "HC_FA_reduction" "NG_FS" "9" "619.380504979752" "0.0509999999776483" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"3" "HC_FA_reduction_real" "NG_FS" 50 "8" "5" NA NA NA NA "0.898601398601399" "HC_FA_reduction" "NG_FS" "11" "9.38743178057484" "0.0509999999776483" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"4" "HC_FA_reduction_real" "NG_FS" 50 "13" "4" "3" NA NA NA "0.896270396270396" "HC_FA_reduction" "NG_FS" "10" "726.666132722981" "0.0559999998658895" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"5" "HC_FA_reduction_real" "NG_FS" 50 "3" "8" "13" NA NA NA "0.898601398601399" "HC_FA_reduction" "NG_FS" "10" "194.242936186958" "0.0540000000037253" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"6" "HC_FA_reduction_real" "NG_FS" 50 "13" "3" "11" "1" "5" "7" "0.900932400932401" "HC_FA_reduction" "NG_FS" "6" "427.645870245062" "0.0320000001229346" "10" NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"7" "HC_FA_reduction_real" "NG_FS" 50 "10" "1" "13" NA NA NA "0.900932400932401" "HC_FA_reduction" "NG_FS" "10" "857.659762404859" "0.0439999997615814" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"8" "HC_FA_reduction_real" "NG_FS" 50 "13" "9" "11" "10" NA NA "0.900932400932401" "HC_FA_reduction" "NG_FS" "9" "199.221484431997" "0.0360000003129244" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"9" "HC_FA_reduction_real" "NG_FS" 50 "13" "3" NA NA NA NA "0.900932400932401" "HC_FA_reduction" "NG_FS" "11" "577.368819179013" "0.0509999999776483" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
"10" "HC_FA_reduction_real" "NG_FS" 50 "8" "11" NA NA NA NA "0.898601398601399" "HC_FA_reduction" "NG_FS" "11" "831.990835299715" "0.0449999999254942" NA NA NA NA "reqMatrices/StatementCoverageMatrices/LoopFinder_1_line_true_Coverage.dat" NA NA NA
