"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord10" "Ord11" "Ord12" "fFM" "Ord13" "Ord"
"1" "HC_FA_reduction_real" "NG_FS" 50 "6" "5" "2" "9" "10" "12" "1" "4" "11" "0.492914979757085" "HC_FA_reduction" "NG_FS" "6" "292.96655353508" "0.0370000000111759" NA NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"2" "HC_FA_reduction_real" "NG_FS" 50 "3" "11" "13" "2" "4" "7" "1" "5" "10" "0.496963562753036" "HC_FA_reduction" "NG_FS" "4" "210.66742068273" "0.029999999795109" "12" NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"3" "HC_FA_reduction_real" "NG_FS" 50 "6" "1" "12" "4" "2" "9" "13" "10" "5" "0.488866396761134" "HC_FA_reduction" "NG_FS" "5" "252.556964022107" "0.0449999999254942" "11" NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"4" "HC_FA_reduction_real" "NG_FS" 50 "2" "11" "10" "13" "8" "6" "4" "7" "1" "0.503036437246964" "HC_FA_reduction" "NG_FS" "1" "432.588167655747" "0.0120000001043081" "5" "12" "9" "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"5" "HC_FA_reduction_real" "NG_FS" 50 "3" "11" "13" "4" "12" "5" "10" "1" "2" "0.474696356275304" "HC_FA_reduction" "NG_FS" "4" "270.95679172501" "0.0209999997168779" "7" NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"6" "HC_FA_reduction_real" "NG_FS" 50 "6" "13" "12" "2" "5" "10" "4" "7" "9" "0.501012145748988" "HC_FA_reduction" "NG_FS" "3" "72.6049734344706" "0.0320000001229346" "1" "11" NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"7" "HC_FA_reduction_real" "NG_FS" 50 "2" "4" "7" "8" "5" "6" "12" "9" "10" "0.507085020242915" "HC_FA_reduction" "NG_FS" "3" "12.610994171584" "0.0260000000707805" "1" "11" NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"8" "HC_FA_reduction_real" "NG_FS" 50 "6" "9" "2" "13" "5" "7" "4" "10" "12" "0.492914979757085" "HC_FA_reduction" "NG_FS" "3" "540.900087427115" "0.0219999998807907" "1" "11" NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"9" "HC_FA_reduction_real" "NG_FS" 50 "8" "11" "12" "7" "10" "9" "4" "13" "2" "0.480769230769231" "HC_FA_reduction" "NG_FS" "5" "259.308845436666" "0.0180000001564622" NA NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"10" "HC_FA_reduction_real" "NG_FS" 50 "12" "2" "4" "1" "5" "7" "11" "8" NA "0.503036437246964" "HC_FA_reduction" "NG_FS" "6" "500.460325325839" "0.0320000001229346" NA NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
"11" "HC_FA_reduction_real" "NG_FS" 50 "2" "13" "10" "9" "1" "4" "5" "8" NA "0.509109311740891" "HC_FA_reduction" "NG_FS" "5" "862.240370216314" "0.0410000002011657" NA NA NA "reqMatrices/StatementCoverageMatrices/Point_1_line_true_Coverage.dat" NA NA
