"HC" "NG" "Trials" "Ord1" "Ord2" "Ord3" "Ord4" "Ord5" "Ord6" "Ord7" "Ord8" "Ord9" "Ord10" "Ord11" "Ord12" "Ord13" "Ord14" "Ord15" "Ord16" "Ord17" "Ord18" "Ord19" "Ord20" "Ord21" "Ord22" "Ord23" "Ord24" "Ord25" "Ord26" "Ord27" "Ord28" "Ord29" "Ord30" "Ord31" "Fit" "Pri" "Conf" "TotalIt" "Seed" "Runtime" "Ord32" "Ord33" "Ord34" "Ord35" "Ord36" "fFM" "Ord37" "Ord38"
"1" "HC_FA_reduction_real" "NG_FS" 50 "9" "32" "24" "38" "12" "34" "33" "14" "21" "1" "22" "37" "17" "19" "10" "18" "16" "15" "28" "25" "4" "8" "31" "11" "2" "35" "13" "27" "36" "29" "5" "0.209937639082958" "HC_FA_reduction" "NG_FS" "9" "554.788592857309" "24.5869999998249" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"2" "HC_FA_reduction_real" "NG_FS" 50 "1" "34" "24" "18" "17" "33" "13" "36" "37" "15" "6" "26" "25" "7" "3" "31" "22" "14" "10" "29" "21" "28" "12" "8" "19" "38" "23" "16" NA NA NA "0.209860011385396" "HC_FA_reduction" "NG_FS" "10" "74.7124187087175" "30.6809999998659" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"3" "HC_FA_reduction_real" "NG_FS" 50 "9" "13" "24" "10" "38" "27" "1" "15" "34" "21" "22" "20" "2" "6" "19" "23" "31" "25" "12" "17" "28" "4" "26" "36" "29" "35" "14" "7" "8" "37" "16" "0.207854629198365" "HC_FA_reduction" "NG_FS" "7" "545.738057740731" "18.7139999996871" "11" NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"4" "HC_FA_reduction_real" "NG_FS" 50 "1" "30" "24" "26" "19" "37" "5" "2" "34" "31" "36" "29" "18" "13" "8" "6" "16" "11" "3" "12" "15" "28" "14" "20" "7" "4" "23" "27" "33" "32" NA "0.210235211923614" "HC_FA_reduction" "NG_FS" "8" "292.332402114058" "29.848000000231" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"5" "HC_FA_reduction_real" "NG_FS" 50 "3" "10" "1" "20" "2" "18" "29" "4" "5" "34" "30" "6" "14" "31" "38" "33" "25" "22" "37" "15" "24" "27" "19" "8" "11" "23" "21" "36" "32" "17" "35" "0.20614681985199" "HC_FA_reduction" "NG_FS" "7" "558.156234939815" "23.6170000000857" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"6" "HC_FA_reduction_real" "NG_FS" 50 "3" "23" "28" "20" "1" "32" "38" "29" "31" "2" "11" "4" "8" "33" "12" "34" "22" "10" "21" "6" "5" "15" "37" NA NA NA NA NA NA NA NA "0.209769445738239" "HC_FA_reduction" "NG_FS" "15" "466.145108101424" "46.285000000149" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"7" "HC_FA_reduction_real" "NG_FS" 50 "20" "16" "23" "15" "2" "4" "22" "33" "1" "21" "10" "11" "34" "14" "24" "3" "13" "7" "25" "30" "26" "6" NA NA NA NA NA NA NA NA NA "0.209924701133364" "HC_FA_reduction" "NG_FS" "16" "710.232414791826" "42.8990000002086" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"8" "HC_FA_reduction_real" "NG_FS" 50 "3" "19" "31" "14" "5" "35" "28" "34" "1" "29" "23" "12" "17" "16" "15" "11" "10" "6" "21" "27" "2" "33" "22" "30" "7" "26" "38" "32" "18" "37" "24" "0.209187238006521" "HC_FA_reduction" "NG_FS" "7" "980.676281456137" "25.9360000002198" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"9" "HC_FA_reduction_real" "NG_FS" 50 "3" "37" "12" "19" "34" "33" "10" "23" "31" "14" "24" "30" "20" "17" "15" "29" "4" "1" "7" "2" "18" "8" "21" "11" "32" "36" "16" "22" "13" "38" "26" "0.209795321637427" "HC_FA_reduction" "NG_FS" "7" "61.1529887102079" "23.9810000001453" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"10" "HC_FA_reduction_real" "NG_FS" 50 "3" "4" "32" "29" "17" "25" "15" "16" "33" "28" "5" "10" "14" "21" "11" "27" "26" "13" "1" "8" "6" "18" "30" "35" "34" "36" "23" "37" "20" NA NA "0.209122548258552" "HC_FA_reduction" "NG_FS" "9" "258.318887512898" "29.1680000000633" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"11" "HC_FA_reduction_real" "NG_FS" 50 "7" "14" "32" "30" "38" "3" "36" "23" "1" "31" "15" "4" "10" "28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.209860011385396" "HC_FA_reduction" "NG_FS" "24" "112.344709622907" "54.026999999769" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"12" "HC_FA_reduction_real" "NG_FS" 50 "3" "15" "16" "4" "35" "22" "19" "38" "2" "21" "12" "10" "17" "27" "31" "1" "32" "18" "14" "26" "13" "11" "33" "8" NA NA NA NA NA NA NA "0.209665942141489" "HC_FA_reduction" "NG_FS" "14" "802.73656176962" "40.5169999999925" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"13" "HC_FA_reduction_real" "NG_FS" 50 "1" "5" "19" "23" "13" "12" "26" "17" "3" "34" "28" "31" "15" "25" "27" "35" "21" "30" "2" "33" "29" "22" "36" "4" "20" "18" "8" "14" "11" "24" "7" "0.206483206541427" "HC_FA_reduction" "NG_FS" "3" "321.390217483742" "13.719000000041" "32" "10" "38" "37" NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"14" "HC_FA_reduction_real" "NG_FS" 50 "4" "30" "3" "36" "13" "19" "33" "1" "32" "18" "23" "8" "35" "28" "12" "16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.209135486208146" "HC_FA_reduction" "NG_FS" "22" "479.383404022781" "46.7170000001788" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"15" "HC_FA_reduction_real" "NG_FS" 50 "36" "13" "16" "11" "23" "21" "31" "6" "34" "5" "27" "1" "3" "10" "15" "26" "24" "8" "4" "14" "12" NA NA NA NA NA NA NA NA NA NA "0.209510686746364" "HC_FA_reduction" "NG_FS" "17" "778.205812055618" "48.3079999997281" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"16" "HC_FA_reduction_real" "NG_FS" 50 "1" "16" "10" "28" "26" "17" "15" "11" "3" "6" "14" "35" "2" "19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.208605030274802" "HC_FA_reduction" "NG_FS" "24" "813.477783400798" "58.3429999998771" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"17" "HC_FA_reduction_real" "NG_FS" 50 "9" "5" "8" "32" "12" "20" "19" "27" "6" "14" "30" "21" "15" "22" "29" "28" "4" "13" "10" "11" "31" "37" "16" "18" "38" "23" "25" "24" "1" "34" "33" "0.206948972726802" "HC_FA_reduction" "NG_FS" "3" "589.77397927409" "13.5560000003316" "36" "35" "17" "2" "26" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"18" "HC_FA_reduction_real" "NG_FS" 50 "1" "27" "32" "33" "10" "15" "3" "20" "37" "38" "6" "28" "34" "13" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.20800988459349" "HC_FA_reduction" "NG_FS" "23" "751.91711295885" "52.1080000000075" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"19" "HC_FA_reduction_real" "NG_FS" 50 "9" "13" "18" "35" "17" "21" "31" "37" "10" "19" "26" "30" "36" "23" "38" "27" "33" "29" "32" "15" "22" "4" "24" "16" "6" "34" "20" "25" "1" "28" "7" "0.208035760492677" "HC_FA_reduction" "NG_FS" "5" "166.901566376677" "17.0200000000186" "12" "11" "14" NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"20" "HC_FA_reduction_real" "NG_FS" 50 "9" "12" "28" "6" "34" "35" "33" "38" "11" "10" "5" "17" "15" "37" "27" "2" "23" "31" "8" "7" "16" "29" "13" "14" "4" "20" "1" "36" "26" "22" "19" "0.208061636391865" "HC_FA_reduction" "NG_FS" "3" "62.1048159440979" "11.8980000000447" "18" "21" "25" "24" "32" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"21" "HC_FA_reduction_real" "NG_FS" 50 "3" "33" "14" "1" "27" "31" "11" "24" "15" "19" "18" "34" "6" "13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.209575376494333" "HC_FA_reduction" "NG_FS" "24" "728.461323574185" "56.8140000002459" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"22" "HC_FA_reduction_real" "NG_FS" 50 "1" "25" "36" "17" "37" "15" "18" "16" "28" "2" "12" "35" "21" "27" "14" "30" "29" "5" "32" "13" "3" "20" "22" "26" "24" "8" "7" NA NA NA NA "0.209860011385396" "HC_FA_reduction" "NG_FS" "11" "793.035760622937" "35.6170000000857" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"23" "HC_FA_reduction_real" "NG_FS" 50 "1" "36" "6" "15" "14" "38" "17" "16" "22" "35" "23" "10" "5" "12" "21" "19" "29" "33" "2" "20" "3" "7" "34" "24" "28" "27" "30" "13" "37" "31" "11" "0.209420121099208" "HC_FA_reduction" "NG_FS" "6" "434.877595132915" "23.2560000000522" "18" NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"24" "HC_FA_reduction_real" "NG_FS" 50 "1" "17" "29" "2" "38" "37" "23" "12" "33" "19" "7" "21" "10" "32" "36" "3" "4" "31" "14" "16" "35" "6" "20" "22" "13" "25" "18" "28" "8" "27" "26" "0.208954354913833" "HC_FA_reduction" "NG_FS" "2" "872.600769682555" "11.0519999996759" "30" "5" "11" "24" "34" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"25" "HC_FA_reduction_real" "NG_FS" 50 "7" "14" "25" "27" "30" "29" "20" "3" "10" "31" "19" "21" "11" "1" "36" "4" "13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.207738187652021" "HC_FA_reduction" "NG_FS" "21" "215.492599744815" "47.7330000000075" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"26" "HC_FA_reduction_real" "NG_FS" 50 "1" "20" "26" "16" "18" "35" "5" "10" "30" "8" "24" "12" "6" "4" "19" "3" "29" "17" "27" "11" "28" "38" NA NA NA NA NA NA NA NA NA "0.210338715520364" "HC_FA_reduction" "NG_FS" "16" "523.454613668146" "41.276999999769" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"27" "HC_FA_reduction_real" "NG_FS" 50 "1" "20" "11" "31" "13" "23" "34" "8" "5" "24" "29" "27" "22" "15" "3" "36" "6" "2" "21" "18" "19" "12" "28" "30" "10" "4" "17" NA NA NA NA "0.209653004191896" "HC_FA_reduction" "NG_FS" "12" "170.483353589894" "29.7860000003129" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"28" "HC_FA_reduction_real" "NG_FS" 50 "9" "12" "8" "27" "33" "19" "28" "2" "15" "31" "4" "11" "14" "24" "30" "34" "37" "20" "21" "36" "38" "10" "13" "16" "23" "32" "26" "1" "6" "17" "18" "0.206923096827615" "HC_FA_reduction" "NG_FS" "5" "949.608332991833" "16.0830000001006" "22" "29" "5" NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"29" "HC_FA_reduction_real" "NG_FS" 50 "9" "29" "27" "23" "34" "2" "10" "26" "5" "4" "30" "38" "36" "18" "1" "21" "13" "28" "37" "25" "32" "16" "11" "35" "14" "22" "19" "7" "17" "12" "15" "0.209497748796771" "HC_FA_reduction" "NG_FS" "3" "987.72409055545" "13.2409999999218" "8" "20" "24" "33" "31" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"30" "HC_FA_reduction_real" "NG_FS" 50 "9" "17" "16" "24" "32" "35" "31" "4" "33" "36" "30" "28" "21" "38" "23" "18" "2" "1" "20" "8" "14" "37" "10" "34" "11" "29" "27" "19" "22" "26" "25" "0.208553278476427" "HC_FA_reduction" "NG_FS" "3" "186.429881911026" "13.7439999999478" "12" "15" "6" "13" "5" "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"31" "HC_FA_reduction_real" "NG_FS" 50 "3" "28" "12" "15" "38" "32" "30" "5" "24" "13" "34" "8" "10" "2" "7" "26" "22" "1" "29" "19" "20" "4" "37" "33" "23" "14" "21" "11" "6" "27" "31" "0.208889665165864" "HC_FA_reduction" "NG_FS" "6" "365.299933304545" "23.1370000001043" "36" NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"32" "HC_FA_reduction_real" "NG_FS" 50 "1" "27" "23" "3" "4" "32" "5" "30" "7" "20" "36" "2" "19" "26" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0.208359209232521" "HC_FA_reduction" "NG_FS" "24" "94.7019056943245" "59.6680000000633" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"33" "HC_FA_reduction_real" "NG_FS" 50 "1" "25" "24" "27" "12" "19" "10" "7" "33" "35" "4" "29" "32" "30" "15" "17" "22" "3" "23" "20" "11" "34" NA NA NA NA NA NA NA NA NA "0.210209336024427" "HC_FA_reduction" "NG_FS" "16" "60.345266520977" "46.6289999997243" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"34" "HC_FA_reduction_real" "NG_FS" 50 "3" "24" "34" "17" "26" "36" "35" "10" "15" "21" "5" "37" "1" "20" "4" "6" "22" "25" "12" "31" "23" "30" "13" "19" NA NA NA NA NA NA NA "0.210054080629302" "HC_FA_reduction" "NG_FS" "14" "727.110438739415" "39.6660000002012" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"35" "HC_FA_reduction_real" "NG_FS" 50 "1" "27" "29" "31" "15" "38" "10" "6" "30" "12" "14" "18" "33" "3" "37" "22" "35" "36" "20" "24" "13" "11" "5" "23" "19" "34" "26" "21" NA NA NA "0.209484810847177" "HC_FA_reduction" "NG_FS" "10" "768.000034776749" "32.9539999999106" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"36" "HC_FA_reduction_real" "NG_FS" 50 "3" "11" "29" "22" "2" "36" "26" "7" "13" "4" "23" "30" "12" "32" "5" "14" "18" "21" "8" "33" "31" "10" "27" "20" "34" "1" "38" "16" "25" "6" "15" "0.209756507788646" "HC_FA_reduction" "NG_FS" "6" "590.340924813412" "24.570000000298" "37" NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"37" "HC_FA_reduction_real" "NG_FS" 50 "9" "38" "27" "25" "35" "12" "16" "31" "20" "37" "24" "26" "23" "11" "28" "13" "4" "32" "36" "18" "19" "22" "15" "8" "10" "17" "21" "2" "33" "34" "1" "0.209911763183771" "HC_FA_reduction" "NG_FS" "8" "358.578648271505" "22.1389999999665" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
"38" "HC_FA_reduction_real" "NG_FS" 50 "1" "28" "20" "27" "14" "3" "8" "26" "30" "7" "32" "24" "16" "38" "11" "34" "15" "37" NA NA NA NA NA NA NA NA NA NA NA NA NA "0.210015266780521" "HC_FA_reduction" "NG_FS" "20" "656.825159238186" "53.7400000002235" NA NA NA NA NA "reqMatrices/StatementCoverageMatrices/ReductionAndPrioritization_1_line_true_Coverage.dat" NA NA
