"CaseStudy" "method" "APRC.lq" "APRC.mean" "APRC.uq" "APRC.max" "APRC.var" "APRC.n" "Runtime.lq" "Runtime.mean" "Runtime.uq" "Runtime.max" "Runtime.var" "Runtime.n"
"3" "Data Structures" "Rand" 0.65 0.6695 0.6942 0.7563 0.0011 6000 0.439 10.1492 9.175 55.463 262.2945 6000
"4" "Data Structures" "Sann" 0.6261 0.6646 0.7091 0.8012 0.0031 4000 9.7625 10.5998 11.402 18.787 1.5873 4000
"2" "Data Structures" "HC_SA" 0.5512 0.5851 0.6249 0.712 0.003 2000 1.8768 1.9949 1.903 4.718 0.3357 2000
"1" "Data Structures" "HC_FA" 0.5411 0.572 0.6043 0.7048 0.0023 2000 0.962 1.4143 1.6623 6.82 0.4741 2000
"8" "jDepend" "Sann" 0.4289 0.4453 0.4634 0.5011 6e-04 4000 73.7343 82.8156 91.6075 113.067 112.7526 4000
"7" "jDepend" "Rand" 0.4235 0.4368 0.4526 0.4866 4e-04 6000 3.315 73.8014 65.7182 345.028 13953.6129 6000
"6" "jDepend" "HC_SA" 0.3652 0.385 0.4044 0.4731 8e-04 2000 5.081 6.9386 7.606 17.738 5.1307 2000
"5" "jDepend" "HC_FA" 0.3557 0.3747 0.3939 0.4622 8e-04 2000 3.3395 4.6449 5.5077 13.66 2.7941 2000
"11" "Loop Finder" "Rand" 0.9014 0.9088 0.9303 0.9303 0.0017 6000 0.04 0.9041 0.808 4.916 2.0827 6000
"12" "Loop Finder" "Sann" 0.7572 0.8219 0.9207 0.9303 0.0133 4000 0.382 0.4683 0.565 1.039 0.0192 4000
"10" "Loop Finder" "HC_SA" 0.6995 0.7708 0.8678 0.9303 0.0135 2000 0.011 0.019 0.021 0.031 0 2000
"9" "Loop Finder" "HC_FA" 0.6707 0.7305 0.7957 0.9303 0.01 2000 0.011 0.0144 0.017 0.045 0 2000
"15" "Redupr" "Rand" 0.3387 0.3454 0.3586 0.3678 4e-04 6000 1.69 38.6488 34.682 186.852 3821.2767 6000
"16" "Redupr" "Sann" 0.2789 0.3089 0.3531 0.3678 0.003 4000 27.1992 32.0545 38.7395 55.604 90.8873 4000
"14" "Redupr" "HC_SA" 0.2302 0.2826 0.3347 0.3669 0.0043 2000 2.534 2.5417 2.581 6.373 0.5708 2000
"13" "Redupr" "HC_FA" 0.2353 0.2774 0.321 0.358 0.0036 2000 1.314 1.9086 2.3365 7.763 0.7774 2000
"19" "Sudoku" "Rand" 0.5833 0.6064 0.6383 0.6843 0.0017 6000 0.438 10.2203 9.105 55.31 270.4433 6000
"20" "Sudoku" "Sann" 0.5601 0.5934 0.6361 0.6907 0.0031 4000 8.003 9.4983 11.025 16.677 2.8859 4000
"18" "Sudoku" "HC_SA" 0.4548 0.5004 0.552 0.6677 0.0048 2000 0.424 0.4675 0.632 1.072 0.0186 2000
"17" "Sudoku" "HC_FA" 0.4388 0.4783 0.5192 0.6583 0.0037 2000 0.2387 0.3258 0.3773 1.208 0.0154 2000
