"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "Sep" "Fit" "HC" "NG" "Trials" "TotalIt" "Seed" "Runtime" "fFM"
"1" "17" "11" "5" "9" "7" "20" "15" "24" "10" "23" "13" "14" "2" "4" "12" "8" "25" "18" "22" "3" "6" "16" "21" "1" "19" NA "0.487536231884058" "HC_FA" "NG_FS" "1000" "2" "566" "0.427999999999997" "FaultCoverageReports/Sudoku_Fault.dat"
"2" "17" "1" "25" "9" "10" "8" "18" "23" "2" "14" "22" "21" "12" "16" "4" "3" "6" "20" "15" "13" "5" "24" "7" "19" "11" NA "0.555748792270531" "HC_FA" "NG_FS" "1000" "5" "135" "0.470000000000027" "FaultCoverageReports/Sudoku_Fault.dat"
"3" "17" "11" "2" "9" "15" "4" "1" "25" "18" "7" "20" "14" "3" "13" "19" "24" "10" "23" "5" "8" "22" "16" "12" "21" "6" NA "0.46792270531401" "HC_FA" "NG_FS" "1000" "2" "297" "0.430999999999983" "FaultCoverageReports/Sudoku_Fault.dat"
"4" "17" "16" "18" "24" "5" "15" "7" "25" "10" "23" "20" "8" "12" "19" "21" "2" "14" "3" "22" "9" "6" "11" "4" "13" "1" NA "0.462898550724638" "HC_FA" "NG_FS" "1000" "3" "522" "0.379999999999995" "FaultCoverageReports/Sudoku_Fault.dat"
"5" "17" "25" "16" "5" "8" "14" "19" "13" "15" "24" "3" "20" "7" "18" "2" "1" "9" "10" "6" "21" "22" "12" "23" "11" "4" NA "0.547729468599034" "HC_FA" "NG_FS" "1000" "1" "54" "0.226999999999975" "FaultCoverageReports/Sudoku_Fault.dat"
"6" "17" "11" "7" "12" "16" "3" "14" "2" "4" "24" "25" "5" "13" "6" "8" "9" "18" "19" "23" "22" "21" "1" "15" "20" "10" NA "0.488502415458937" "HC_FA" "NG_FS" "1000" "2" "707" "0.317999999999984" "FaultCoverageReports/Sudoku_Fault.dat"
"7" "17" "20" "11" "8" "10" "24" "25" "6" "13" "18" "14" "16" "15" "23" "22" "1" "21" "7" "12" "5" "2" "9" "4" "3" "19" NA "0.549855072463768" "HC_FA" "NG_FS" "1000" "2" "898" "0.334000000000003" "FaultCoverageReports/Sudoku_Fault.dat"
"8" "17" "12" "16" "19" "13" "8" "20" "14" "15" "6" "4" "9" "24" "10" "18" "11" "25" "22" "2" "3" "21" "5" "23" "1" "7" NA "0.514106280193237" "HC_FA" "NG_FS" "1000" "3" "413" "0.327999999999975" "FaultCoverageReports/Sudoku_Fault.dat"
"9" "17" "3" "18" "7" "11" "20" "9" "15" "2" "8" "23" "25" "16" "1" "4" "6" "22" "13" "12" "14" "24" "19" "5" "21" "10" NA "0.454202898550725" "HC_FA" "NG_FS" "1000" "3" "187" "0.534000000000049" "FaultCoverageReports/Sudoku_Fault.dat"
"10" "17" "5" "11" "2" "3" "16" "6" "9" "12" "7" "10" "4" "22" "24" "8" "15" "23" "21" "19" "13" "25" "14" "20" "1" "18" NA "0.41951690821256" "HC_FA" "NG_FS" "1000" "5" "39" "0.690999999999974" "FaultCoverageReports/Sudoku_Fault.dat"
"11" "17" "1" "18" "10" "2" "20" "12" "11" "24" "7" "16" "3" "23" "4" "22" "13" "14" "9" "5" "21" "15" "25" "8" "6" "19" NA "0.427053140096618" "HC_FA" "NG_FS" "1000" "3" "143" "0.525000000000034" "FaultCoverageReports/Sudoku_Fault.dat"
"12" "17" "2" "15" "18" "4" "24" "8" "13" "10" "3" "6" "20" "16" "7" "11" "19" "5" "23" "12" "25" "21" "1" "22" "9" "14" NA "0.45207729468599" "HC_FA" "NG_FS" "1000" "2" "871" "0.30699999999996" "FaultCoverageReports/Sudoku_Fault.dat"
