"Pri" "Conf" "csa" "APRC" "APFD" "Runtime" "Trials" "FM" "Seed"
"1" "Sann" "NF_FS" "DS" 0.736868157465642 0.70932331702772 10.384 1000 "FaultCov" 896
"2" "Sann" "NF_FS" "DS" 0.685767528534824 0.67703237829024 9.023 1000 "FaultCov" 266
"3" "Sann" "NF_FS" "DS" 0.687893081761006 0.638947123223853 9.21 1000 "FaultCov" 372
"4" "Sann" "NF_FS" "DS" 0.631056370836245 0.681632890752388 7.222 1000 "FaultCov" 573
"5" "Sann" "NF_FS" "DS" 0.697851153039832 0.659300023293734 8.729 1000 "FaultCov" 908
"6" "Sann" "NF_FS" "DS" 0.630182855811787 0.672140694153273 8.971 1000 "FaultCov" 202
"7" "Sann" "NF_FS" "DS" 0.67030631260191 0.664744933612858 8.564 1000 "FaultCov" 898
"8" "Sann" "NF_FS" "DS" 0.645236431399953 0.681167016072676 10.826 1000 "FaultCov" 944
"9" "Sann" "NF_FS" "DS" 0.727084789191707 0.669432797577452 9.351 1000 "FaultCov" 661
"10" "Sann" "NF_FS" "DS" 0.755706964826462 0.702888423014209 9.037 1000 "FaultCov" 629
"11" "Sann" "NF_FS" "DS" 0.660202655485674 0.654845096668996 8.46 1000 "FaultCov" 62
"12" "Sann" "NF_FS" "DS" 0.706528068949453 0.695987654320988 10.935 1000 "FaultCov" 206
"13" "Sann" "NF_FS" "DS" 0.688126019100862 0.6537095271372 8.463 1000 "FaultCov" 177
"14" "Sann" "NF_FS" "DS" 0.73669345446075 0.690630095504309 9.844 1000 "FaultCov" 687
"15" "Sann" "NF_FS" "DS" 0.700034940600978 0.690251572327044 9.847 1000 "FaultCov" 384
"16" "Sann" "NF_FS" "DS" 0.691212438853948 0.701811087817377 11.29 1000 "FaultCov" 770
"17" "Sann" "NF_FS" "DS" 0.682768460284184 0.660493827160494 10.024 1000 "FaultCov" 498
"18" "Sann" "NF_FS" "DS" 0.698142324714652 0.664715816445376 10.105 1000 "FaultCov" 717
"19" "Sann" "NF_FS" "DS" 0.637957139529467 0.691853016538551 8.916 1000 "FaultCov" 991
"20" "Sann" "NF_FS" "DS" 0.602783601211274 0.693949452597251 7.849 1000 "FaultCov" 380
"21" "Sann" "NF_FS" "DS" 0.659620312136035 0.683933146983461 9.812 1000 "FaultCov" 777
"22" "Sann" "NF_FS" "DS" 0.632890752387608 0.650186349871885 8.807 1000 "FaultCov" 934
"23" "Sann" "NF_FS" "DS" 0.658601211274167 0.665298159795015 9.869 1000 "FaultCov" 212
"24" "Sann" "NF_FS" "DS" 0.661600279524808 0.680526438388074 9.247 1000 "FaultCov" 652
"25" "Sann" "NF_FS" "DS" 0.69214418821337 0.691299790356394 9.132 1000 "FaultCov" 126
"26" "Sann" "NF_FS" "DS" 0.720416957838341 0.691154204518984 9.989 1000 "FaultCov" 267
"27" "Sann" "NF_FS" "DS" 0.760569531795947 0.702102259492197 10.445 1000 "FaultCov" 386
"28" "Sann" "NF_FS" "DS" 0.666346377824365 0.663114372233869 9.791 1000 "FaultCov" 14
"29" "Sann" "NF_FS" "DS" 0.711041229909154 0.691823899371069 9.72 1000 "FaultCov" 383
"30" "Sann" "NF_FS" "DS" 0.727608898206383 0.701432564640112 8.194 1000 "FaultCov" 869
"31" "Sann" "NF_FS" "DS" 0.7090321453529 0.678837642674121 9.651 1000 "FaultCov" 341
"32" "Sann" "NF_FS" "DS" 0.713632657815048 0.676187980433263 9.51 1000 "FaultCov" 482
"33" "Sann" "NF_FS" "DS" 0.687456324248777 0.687776613091079 8.863 1000 "FaultCov" 599
"34" "Sann" "NF_FS" "DS" 0.6127416724901 0.669170743070114 7.434 1000 "FaultCov" 494
"35" "Sann" "NF_FS" "DS" 0.55217796412765 0.700413463778244 8.471 1000 "FaultCov" 187
"36" "Sann" "NF_FS" "DS" 0.649312834847426 0.664511996273003 9.067 1000 "FaultCov" 827
"37" "Sann" "NF_FS" "DS" 0.753086419753086 0.695376193803867 10.134 1000 "FaultCov" 668
"38" "Sann" "NF_FS" "DS" 0.627038201723736 0.662706731889122 7.962 1000 "FaultCov" 794
"39" "Sann" "NF_FS" "DS" 0.640170044258095 0.66567668297228 9.289 1000 "FaultCov" 108
"40" "Sann" "NF_FS" "DS" 0.695085022129047 0.683729326811088 9.489 1000 "FaultCov" 723
"41" "Sann" "NF_FS" "DS" 0.655456557186117 0.640519450267878 10.206 1000 "FaultCov" 411
"42" "Sann" "NF_FS" "DS" 0.714739110179362 0.700879338457955 10.052 1000 "FaultCov" 821
"43" "Sann" "NF_FS" "DS" 0.6495166550198 0.647041695783834 8.967 1000 "FaultCov" 647
"44" "Sann" "NF_FS" "DS" 0.730986489634288 0.684428138830655 10.9 1000 "FaultCov" 783
"45" "Sann" "NF_FS" "DS" 0.6719368739809 0.659503843466108 9.517 1000 "FaultCov" 553
"46" "Sann" "NF_FS" "DS" 0.6516130910785 0.677818541812253 8.758 1000 "FaultCov" 530
"47" "Sann" "NF_FS" "DS" 0.609800838574423 0.661804099697181 9.054 1000 "FaultCov" 789
"48" "Sann" "NF_FS" "DS" 0.685825762869788 0.676275331935709 7.897 1000 "FaultCov" 24
"49" "Sann" "NF_FS" "DS" 0.683438155136268 0.649429303517354 9.386 1000 "FaultCov" 477
"50" "Sann" "NF_FS" "DS" 0.694473561611926 0.669374563242488 9.977 1000 "FaultCov" 732
