"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "Sep" "HC" "NG" "Trials" "TotalIt" "Seed" "Runtime" "fFM" "APRC" "APFD"
"1" 7 6 3 4 11 13 12 10 9 2 5 8 1 NA "HC_FA" "NG_FS" 1000 4 566 0.0279999999999632 "FaultCoverageReports/LoopFinder_Fault.dat" 0.694711538461538 0.828125
"2" 7 5 4 13 10 3 1 11 12 6 2 9 8 NA "HC_FA" "NG_FS" 1000 2 135 0.0160000000000196 "FaultCoverageReports/LoopFinder_Fault.dat" 0.709134615384615 0.813701923076923
"3" 7 6 1 5 8 2 11 10 4 13 9 12 3 NA "HC_FA" "NG_FS" 1000 1 297 0.01400000000001 "FaultCoverageReports/LoopFinder_Fault.dat" 0.850961538461538 0.842548076923077
"4" 8 10 9 7 2 6 3 12 13 5 4 11 1 NA "HC_FA" "NG_FS" 1000 1 522 0.0109999999999673 "FaultCoverageReports/LoopFinder_Fault.dat" 0.872596153846154 0.823317307692308
"5" 7 9 13 2 4 6 8 5 11 12 1 10 3 NA "HC_FA" "NG_FS" 1000 2 54 0.0170000000000528 "FaultCoverageReports/LoopFinder_Fault.dat" 0.822115384615385 0.828125
"6" 8 2 3 12 6 10 9 1 13 11 7 4 5 NA "HC_FA" "NG_FS" 1000 3 707 0.0220000000000482 "FaultCoverageReports/LoopFinder_Fault.dat" 0.668269230769231 0.775240384615385
"7" 8 10 6 4 5 7 3 2 13 11 12 1 9 NA "HC_FA" "NG_FS" 1000 2 898 0.0180000000000291 "FaultCoverageReports/LoopFinder_Fault.dat" 0.814903846153846 0.823317307692308
"8" 8 6 7 9 13 4 3 10 5 2 1 11 12 NA "HC_FA" "NG_FS" 1000 2 413 0.0129999999999768 "FaultCoverageReports/LoopFinder_Fault.dat" 0.901442307692308 0.823317307692308
"9" 8 2 9 3 5 4 13 11 1 7 10 12 6 NA "HC_FA" "NG_FS" 1000 1 187 0.0149999999999864 "FaultCoverageReports/LoopFinder_Fault.dat" 0.694711538461538 0.729567307692308
"10" 7 3 2 6 4 1 11 12 9 8 5 10 13 NA "HC_FA" "NG_FS" 1000 2 39 0.0159999999999627 "FaultCoverageReports/LoopFinder_Fault.dat" 0.699519230769231 0.820913461538462
"11" 7 1 9 5 12 13 10 4 3 2 6 11 8 NA "HC_FA" "NG_FS" 1000 2 143 0.0240000000000009 "FaultCoverageReports/LoopFinder_Fault.dat" 0.762019230769231 0.842548076923077
"12" 7 10 1 6 2 12 3 13 8 11 9 4 5 NA "HC_FA" "NG_FS" 1000 3 871 0.0190000000000055 "FaultCoverageReports/LoopFinder_Fault.dat" 0.793269230769231 0.835336538461539
"13" 8 3 9 10 4 5 12 1 2 11 6 13 7 NA "HC_FA" "NG_FS" 1000 2 534 0.0219999999999914 "FaultCoverageReports/LoopFinder_Fault.dat" 0.612980769230769 0.823317307692308
"14" 7 3 9 13 11 6 10 5 8 2 4 1 12 NA "HC_FA" "NG_FS" 1000 2 451 0.01400000000001 "FaultCoverageReports/LoopFinder_Fault.dat" 0.766826923076923 0.813701923076923
"15" 8 5 11 7 1 2 4 10 12 3 6 13 9 NA "HC_FA" "NG_FS" 1000 2 62 0.01400000000001 "FaultCoverageReports/LoopFinder_Fault.dat" 0.872596153846154 0.823317307692308
